SS_TimeStamp,ENG_FUEL_RATE,AIR_FILTER,AMB_AIR_TEMP,ATMOS_PRES,BOOST_PRES,ENG_LOAD,ENG_SPD,LT_EXH_TEMP,RT_EXH_TEMP,RT-LT_EXH_TEMP,THROTTL_POS,TURBO_INLET_PRESSURE,TURBO_OUTLET_PRESSURE,ENGINE_AIR_FILTER_DIFF_PRESS_CV,TURBO_OUT_TO_IN_DIFF_CV
6/13/2014 17:02,337.35,2.5,29.9,99,190,100,1523.5,547,551,4,90,96.5,288,10.035,191.5
6/13/2014 17:02,337.05,2.5,27.6,99,190,100,1532.5,545,549,4,90,96.5,288,10.035,191.5
6/13/2014 17:02,339.35,2.5,24.3,99,190,100,1554.5,545,547,2,90,96,288,12.042,192
6/14/2014 11:00,321.4,2,35.2,98.5,184,100,1327,550,557,7,99.6,96.5,282,8.028,185.5
6/14/2014 11:01,335.6,2.5,16.5,98.5,202,100,1436,559,569,10,99.6,96,300,10.035,204
6/16/2014 7:01,337,2.5,13.8,99,202,100,1467,540,546,6,87.6,96.5,302,10.035,205.5
6/16/2014 7:01,321.6,2,13.3,99,176,100,1325,550,558,8,88,97.5,276,6.021,178.5
6/16/2014 7:01,334.6,2,13.3,99,202,100,1460.5,565,570,5,88,96.5,302,10.035,205.5
6/16/2014 7:02,337.6,2.5,15.5,99,202,100,1533.5,557,561,4,88,96.5,302,10.035,205.5
6/16/2014 7:02,335,2.5,36.2,99,196,100,1441,544,550,6,87.6,96.5,296,10.035,199.5
6/16/2014 7:02,334.5,2.5,15.5,99,198,100,1426,552,558,6,87.6,96.5,298,10.035,201.5
6/16/2014 7:02,335,2.5,20.8,99,198,100,1446,562,566,4,87.6,96.5,296,10.035,199.5
6/16/2014 7:02,301.8,1,13.1,99,112,62,1484.5,507,506,-1,71.2,98,210,4.014,112
6/16/2014 9:01,334.95,2.5,11.7,99,194,93,1481,516,520,4,99.6,96.5,292,10.035,195.5
6/16/2014 15:05,328.2,2,15.5,99.5,186,99,1369,531,539,8,99.6,97.5,286,8.028,188.5
6/16/2014 15:05,319.8,1.5,15.5,99.5,170,100,1320,557,562,5,99.6,98,270,6.021,172
6/16/2014 15:05,315.1,1.5,15.5,99.5,170,100,1303.5,562,567,5,99.6,98,270,6.021,172
6/16/2014 17:02,345.05,0.5,18.3,100,90,58,1655.5,433,429,-4,99.6,99,190,4.014,91
6/16/2014 17:03,336.25,2.5,20.2,100,182,100,1540,503,509,6,99.6,97.5,282,10.035,184.5
6/16/2014 17:03,337.1,2.5,17.8,100.5,182,100,1522.5,510,518,8,99.6,97.5,282,12.042,184.5
6/16/2014 17:03,337.1,2.5,17.9,100,182,100,1572.5,511,515,4,99.6,97.5,282,10.035,184.5
6/16/2014 17:03,306.75,1,36.3,100,174,87,1591.5,435,449,14,64,97.5,274,10.035,176.5
6/16/2014 17:03,337.55,1,18.4,100,172,86,1517,418,430,12,99.6,98,272,8.028,174
6/16/2014 17:04,309.6,2,18.8,100,164,100,1276.5,525,530,5,99.6,98,264,8.028,166
6/16/2014 17:04,343.65,3,39,100,192,100,1662,513,515,2,99.6,96.5,292,14.049,195.5
6/16/2014 17:05,343.45,2,18.1,100,184,88,1627.5,501,502,1,99.6,97,284,12.042,187
6/16/2014 17:05,348.65,3,18.1,100,194,99,1695,507,509,2,99.6,96.5,294,14.049,197.5
6/16/2014 17:05,347.4,3,18.1,100,194,100,1680,508,511,3,99.6,96.5,294,14.049,197.5
6/16/2014 21:02,335.45,1,46,100,156,96,1443.5,459,471,12,97.6,98,256,8.028,158
6/16/2014 21:04,337.25,2.5,21.7,99.5,188,100,1518,530,537,7,90,97,288,10.035,191
6/17/2014 19:00,318.7,2.5,24.3,100.5,132,88,1295,477,478,1,99.6,98.5,232,8.028,133.5
6/17/2014 19:00,334.6,1.5,28,100.5,150,97,1410,488,495,7,99.6,98.5,250,8.028,151.5
6/17/2014 19:02,339.6,2.5,20.2,100,192,100,1559.5,533,539,6,99.6,97.5,292,10.035,194.5
