SS_TimeStamp,ENG_FUEL_RATE,AIR_FILTER,AMB_AIR_TEMP,ATMOS_PRES,BOOST_PRES,ENG_LOAD,ENG_SPD,LT_EXH_TEMP,RT_EXH_TEMP,RT-LT_EXH_TEMP,THROTTL_POS,TURBO_INLET_PRESSURE,TURBO_OUTLET_PRESSURE,ENGINE_AIR_FILTER_DIFF_PRESS_CV,TURBO_OUT_TO_IN_DIFF_CV
2014-06-13 17:02:00,337.35,2.5,29.9,99.0,190,100,1523.5,547,551,4,90.0,96.5,288,10.035,191.5
2014-06-13 17:02:00,337.05,2.5,27.6,99.0,190,100,1532.5,545,549,4,90.0,96.5,288,10.035,191.5
2014-06-13 17:02:00,339.35,2.5,24.3,99.0,190,100,1554.5,545,547,2,90.0,96.0,288,12.042,192.0
2014-06-14 11:00:00,321.4,2.0,35.2,98.5,184,100,1327.0,550,557,7,99.6,96.5,282,8.028,185.5
2014-06-14 11:01:00,335.6,2.5,16.5,98.5,202,100,1436.0,559,569,10,99.6,96.0,300,10.035,204.0
2014-06-16 07:01:00,337.0,2.5,13.8,99.0,202,100,1467.0,540,546,6,87.6,96.5,302,10.035,205.5
2014-06-16 07:01:00,321.6,2.0,13.3,99.0,176,100,1325.0,550,558,8,88.0,97.5,276,6.021,178.5
2014-06-16 07:01:00,334.6,2.0,13.3,99.0,202,100,1460.5,565,570,5,88.0,96.5,302,10.035,205.5
2014-06-16 07:02:00,337.6,2.5,15.5,99.0,202,100,1533.5,557,561,4,88.0,96.5,302,10.035,205.5
2014-06-16 07:02:00,335.0,2.5,36.2,99.0,196,100,1441.0,544,550,6,87.6,96.5,296,10.035,199.5
2014-06-16 07:02:00,334.5,2.5,15.5,99.0,198,100,1426.0,552,558,6,87.6,96.5,298,10.035,201.5
2014-06-16 07:02:00,335.0,2.5,20.8,99.0,198,100,1446.0,562,566,4,87.6,96.5,296,10.035,199.5
2014-06-16 07:02:00,301.8,1.0,13.1,99.0,112,62,1484.5,507,506,-1,71.2,98.0,210,4.014,112.0
2014-06-16 09:01:00,334.95,2.5,11.7,99.0,194,93,1481.0,516,520,4,99.6,96.5,292,10.035,195.5
2014-06-16 15:05:00,328.2,2.0,15.5,99.5,186,99,1369.0,531,539,8,99.6,97.5,286,8.028,188.5
2014-06-16 15:05:00,319.8,1.5,15.5,99.5,170,100,1320.0,557,562,5,99.6,98.0,270,6.021,172.0
2014-06-16 15:05:00,315.1,1.5,15.5,99.5,170,100,1303.5,562,567,5,99.6,98.0,270,6.021,172.0
2014-06-16 17:02:00,345.05,0.5,18.3,100.0,90,58,1655.5,433,429,-4,99.6,99.0,190,4.014,91.0
2014-06-16 17:03:00,336.25,2.5,20.2,100.0,182,100,1540.0,503,509,6,99.6,97.5,282,10.035,184.5
2014-06-16 17:03:00,337.1,2.5,17.8,100.5,182,100,1522.5,510,518,8,99.6,97.5,282,12.042,184.5
2014-06-16 17:03:00,337.1,2.5,17.9,100.0,182,100,1572.5,511,515,4,99.6,97.5,282,10.035,184.5
2014-06-16 17:03:00,306.75,1.0,36.3,100.0,174,87,1591.5,435,449,14,64.0,97.5,274,10.035,176.5
2014-06-16 17:03:00,337.55,1.0,18.4,100.0,172,86,1517.0,418,430,12,99.6,98.0,272,8.028,174.0
2014-06-16 17:04:00,309.6,2.0,18.8,100.0,164,100,1276.5,525,530,5,99.6,98.0,264,8.028,166.0
2014-06-16 17:04:00,343.65,3.0,39.0,100.0,192,100,1662.0,513,515,2,99.6,96.5,292,14.049,195.5
2014-06-16 17:05:00,343.45,2.0,18.1,100.0,184,88,1627.5,501,502,1,99.6,97.0,284,12.042,187.0
2014-06-16 17:05:00,348.65,3.0,18.1,100.0,194,99,1695.0,507,509,2,99.6,96.5,294,14.049,197.5
2014-06-16 17:05:00,347.4,3.0,18.1,100.0,194,100,1680.0,508,511,3,99.6,96.5,294,14.049,197.5
2014-06-16 21:02:00,335.45,1.0,46.0,100.0,156,96,1443.5,459,471,12,97.6,98.0,256,8.028,158.0
2014-06-16 21:04:00,337.25,2.5,21.7,99.5,188,100,1518.0,530,537,7,90.0,97.0,288,10.035,191.0
2014-06-17 19:00:00,318.7,2.5,24.3,100.5,132,88,1295.0,477,478,1,99.6,98.5,232,8.028,133.5
2014-06-17 19:00:00,334.6,1.5,28.0,100.5,150,97,1410.0,488,495,7,99.6,98.5,250,8.028,151.5
2014-06-17 19:02:00,339.6,2.5,20.2,100.0,192,100,1559.5,533,539,6,99.6,97.5,292,10.035,194.5
2014-06-17 19:02:00,339.3,3.0,19.8,100.0,196,100,1553.5,520,523,3,99.6,97.0,296,12.042,199.0
2014-06-17 19:02:00,343.0,2.5,19.8,100.0,190,100,1629.5,523,527,4,99.6,97.0,290,12.042,193.0
2014-06-17 19:02:00,335.95,2.5,46.8,100.0,184,100,1469.5,531,538,7,99.6,97.5,284,10.035,186.5
2014-06-17 19:03:00,343.8,2.5,20.7,100.0,196,100,1639.5,539,545,6,99.6,97.0,296,12.042,199.0
2014-06-17 19:03:00,348.8,3.0,20.7,100.0,190,100,1736.0,537,540,3,99.6,96.5,290,14.049,193.5
2014-06-17 19:03:00,324.4,2.5,20.7,100.0,186,98,1825.0,524,527,3,99.6,96.5,286,14.049,189.5
2014-06-17 19:03:00,335.95,2.0,23.1,100.0,188,95,1476.5,520,523,3,99.6,97.5,288,10.035,190.5
2014-06-17 19:03:00,344.15,2.5,20.7,100.0,192,99,1624.5,538,540,2,99.6,97.0,292,12.042,195.0
2014-06-17 19:04:00,339.15,2.5,20.2,99.5,194,100,1587.5,548,552,4,99.6,97.0,294,10.035,197.0
2014-06-18 04:59:00,326.0,3.0,28.5,99.5,186,99,1834.0,486,487,1,99.6,96.0,286,14.049,190.0
2014-06-18 05:00:00,330.4,2.5,13.5,99.5,174,93,1379.5,489,490,1,99.6,97.5,274,8.028,176.5
2014-06-18 05:00:00,335.25,2.5,13.5,99.5,190,98,1499.0,501,509,8,99.6,97.0,290,10.035,193.0
2014-06-18 05:00:00,344.7,2.5,13.5,99.5,196,99,1652.0,511,517,6,99.6,96.5,296,12.042,199.5
2014-06-18 05:00:00,340.15,3.0,12.9,99.5,192,100,1584.5,513,517,4,99.6,96.5,292,12.042,195.5
2014-06-18 05:00:00,336.3,2.5,12.8,99.5,190,100,1454.5,519,523,4,99.6,97.0,290,10.035,193.0
2014-06-18 05:00:00,336.9,3.0,12.9,99.5,200,100,1509.5,523,526,3,99.6,96.5,300,12.042,203.5
2014-06-18 05:00:00,320.3,2.5,12.9,99.5,186,100,1318.0,530,537,7,99.6,97.5,286,8.028,188.5
2014-06-18 05:01:00,336.4,2.5,12.8,99.5,190,100,1426.5,542,549,7,99.6,97.0,290,10.035,193.0
2014-06-18 05:01:00,306.0,2.0,39.4,99.5,174,99,1688.0,550,557,7,99.6,97.5,274,8.028,176.5
2014-06-18 05:02:00,347.25,3.5,12.6,99.0,206,100,1688.0,521,523,2,99.6,95.5,306,14.049,210.5
2014-06-18 05:02:00,344.95,3.0,12.6,99.0,200,100,1656.5,523,526,3,99.6,96.0,300,12.042,204.0
2014-06-18 05:02:00,332.55,3.5,18.6,99.0,188,100,1826.0,526,527,1,99.6,95.5,288,14.049,192.5
2014-06-18 05:02:00,343.65,2.5,12.4,99.0,198,98,1661.0,523,529,6,99.6,96.0,298,12.042,202.0
2014-06-18 05:03:00,335.6,2.5,12.6,99.0,196,99,1561.5,528,534,6,99.6,96.0,296,12.042,200.0
2014-06-18 05:03:00,346.85,1.5,12.3,99.0,194,81,1685.5,492,493,1,99.6,96.0,294,12.042,198.0
2014-06-18 05:04:00,325.3,1.5,9.8,99.5,132,73,1670.0,374,380,6,81.6,97.5,232,8.028,134.5
2014-06-18 05:04:00,332.1,2.5,9.8,99.0,156,81,1811.5,419,423,4,89.6,96.5,256,10.035,159.5
2014-06-18 05:04:00,327.4,3.0,9.8,99.0,166,94,1825.0,446,449,3,99.2,96.0,266,12.042,170.0
2014-06-18 07:00:00,337.75,2.5,11.0,100.0,186,99,1540.0,502,506,4,99.6,97.0,286,12.042,189.0
2014-06-18 07:00:00,335.95,2.5,11.0,100.0,196,100,1499.5,505,508,3,99.6,97.0,296,12.042,199.0
2014-06-18 07:01:00,333.75,2.5,10.9,100.0,190,97,1406.0,493,496,3,99.6,97.5,290,10.035,192.5
2014-06-18 07:01:00,321.75,2.5,10.9,100.0,186,98,1303.5,508,512,4,99.6,97.5,286,10.035,188.5
2014-06-18 07:01:00,336.35,2.5,13.6,100.0,186,94,1423.5,512,517,5,99.6,97.0,286,12.042,189.0
2014-06-18 07:02:00,306.7,1.5,10.5,99.5,72,57,1473.0,412,414,2,80.8,99.0,172,2.007,73.0
2014-06-18 07:02:00,301.3,1.5,10.5,99.5,162,79,1881.0,449,449,0,87.2,96.5,262,12.042,165.5
2014-06-18 07:03:00,333.2,2.0,10.2,99.5,188,98,1385.0,489,492,3,99.6,97.0,288,10.035,191.0
2014-06-18 07:03:00,322.5,2.0,10.2,99.5,184,99,1328.5,501,507,6,99.6,97.5,284,8.028,186.5
2014-06-18 07:03:00,337.75,2.0,19.8,99.5,184,92,1557.5,525,529,4,99.6,97.0,284,10.035,187.0
2014-06-18 07:03:00,339.9,2.5,10.2,99.5,196,98,1580.5,523,526,3,99.6,96.5,296,12.042,199.5
2014-06-18 07:03:00,341.95,3.5,24.3,99.5,190,100,1794.5,517,517,0,99.2,96.0,290,14.049,194.0
2014-06-18 07:03:00,322.9,3.5,10.9,99.5,180,100,1837.0,511,511,0,98.8,96.0,280,14.049,184.0
2014-06-18 07:03:00,334.75,2.5,10.5,99.5,184,97,1426.0,510,516,6,99.2,97.0,284,10.035,187.0
2014-06-18 07:03:00,334.5,2.5,10.4,99.5,198,100,1455.0,532,540,8,98.0,97.0,298,10.035,201.0
2014-06-18 11:03:00,336.9,3.0,11.9,100.5,178,98,1502.5,424,430,6,99.6,97.0,278,14.049,181.0
2014-06-18 11:03:00,342.85,3.0,24.6,100.5,182,99,1664.5,446,450,4,99.6,97.0,282,14.049,185.0
2014-06-18 11:03:00,345.55,3.5,12.1,100.5,182,99,1604.5,454,458,4,99.6,96.5,282,16.056,185.5
2014-06-18 11:03:00,337.5,3.0,12.3,100.5,182,100,1529.0,457,462,5,99.6,97.0,282,14.049,185.0
2014-06-18 14:59:00,328.4,2.0,14.7,99.5,192,100,1376.5,551,557,6,99.2,97.5,292,8.028,194.5
2014-06-18 14:59:00,330.0,2.0,14.7,99.5,184,100,1387.5,563,568,5,99.6,97.5,284,8.028,186.5
2014-06-18 14:59:00,333.2,2.0,14.7,99.5,190,100,1389.5,567,571,4,99.6,97.5,290,8.028,192.5
2014-06-18 14:59:00,337.0,2.5,14.7,99.5,202,100,1477.5,558,562,4,99.6,97.0,302,10.035,205.0
2014-06-18 15:00:00,336.4,2.5,14.7,99.5,202,100,1509.5,556,560,4,99.6,96.5,302,12.042,205.5
2014-06-18 15:00:00,335.4,2.5,15.0,99.5,202,100,1489.0,549,554,5,99.6,97.0,302,10.035,205.0
2014-06-18 15:01:00,344.7,3.0,15.0,99.5,206,100,1653.5,548,549,1,99.6,96.0,306,14.049,210.0
2014-06-18 15:01:00,348.55,3.0,15.0,99.5,202,100,1768.0,546,547,1,99.6,96.0,302,14.049,206.0
2014-06-18 15:01:00,337.65,3.0,14.8,99.5,194,99,1814.0,535,540,5,99.6,95.5,294,16.056,198.5
2014-06-18 15:01:00,332.55,3.0,14.7,99.5,158,83,1412.0,529,529,0,99.6,97.0,258,10.035,161.0
2014-06-18 15:01:00,336.3,3.5,23.1,99.5,192,100,1807.5,535,537,2,99.6,95.5,292,16.056,196.5
2014-06-18 15:01:00,329.55,3.0,14.3,99.5,156,83,1391.0,526,524,-2,99.6,97.5,256,8.028,158.5
2014-06-18 15:01:00,336.1,2.5,15.0,99.5,192,99,1548.5,535,543,8,99.6,96.5,292,12.042,195.5
2014-06-18 15:01:00,339.25,2.5,15.0,99.5,198,99,1614.0,541,545,4,99.6,96.0,298,14.049,202.0
2014-06-18 15:01:00,344.95,3.0,14.5,99.5,198,99,1657.5,542,544,2,99.6,96.0,298,14.049,202.0
2014-06-18 17:00:00,334.5,2.0,18.8,100.0,184,100,1410.0,557,563,6,99.6,97.5,284,10.035,186.5
2014-06-18 17:00:00,330.1,2.0,26.8,100.0,182,100,1380.5,558,564,6,99.6,97.5,282,10.035,184.5
2014-06-18 17:00:00,339.6,3.0,40.4,99.5,196,100,1574.5,548,552,4,99.6,96.5,296,12.042,199.5
2014-06-18 17:00:00,336.55,2.5,19.0,99.5,196,100,1534.5,541,544,3,99.6,97.0,296,10.035,199.0
2014-06-18 17:00:00,336.45,2.5,19.0,99.5,194,100,1526.0,541,546,5,99.6,97.0,294,10.035,197.0
2014-06-18 17:01:00,322.1,2.0,18.4,99.5,184,100,1338.5,568,574,6,99.6,97.5,284,8.028,186.5
2014-06-18 17:01:00,333.85,2.5,18.4,99.5,194,100,1438.5,575,581,6,99.6,97.0,294,10.035,197.0
2014-06-18 17:01:00,333.95,2.5,18.4,99.5,198,100,1436.0,564,570,6,99.6,97.0,298,10.035,201.0
2014-06-18 17:01:00,336.45,2.5,18.3,99.5,196,100,1486.5,566,572,6,99.6,96.5,296,12.042,199.5
2014-06-18 17:01:00,337.2,2.5,18.3,99.5,198,100,1515.0,563,567,4,99.6,96.5,298,12.042,201.5
2014-06-18 17:02:00,336.45,2.5,17.9,99.5,198,100,1500.5,556,562,6,99.6,96.5,298,12.042,201.5
2014-06-18 17:02:00,336.05,2.5,18.3,99.5,198,100,1483.0,558,564,6,99.6,96.5,298,12.042,201.5
2014-06-18 17:02:00,336.0,2.5,17.9,99.5,196,100,1500.5,558,565,7,99.6,96.5,296,12.042,199.5
2014-06-18 17:02:00,336.55,2.5,19.8,99.5,200,100,1502.5,557,561,4,99.6,96.5,300,12.042,203.5
2014-06-18 17:02:00,335.95,2.5,18.1,99.5,194,100,1496.0,556,563,7,99.6,96.5,294,12.042,197.5
2014-06-18 17:02:00,335.95,2.5,18.1,99.5,198,100,1502.5,556,561,5,99.6,96.5,298,12.042,201.5
2014-06-18 17:02:00,337.65,2.5,18.3,99.5,194,100,1534.5,556,561,5,99.6,96.5,294,12.042,197.5
2014-06-18 17:02:00,324.35,3.5,18.3,99.0,178,100,1845.0,549,549,0,99.6,95.5,278,14.049,182.5
2014-06-18 17:02:00,342.7,3.0,18.6,99.5,152,80,1415.5,537,535,-2,99.6,97.0,252,10.035,155.0
2014-06-18 17:02:00,339.15,2.5,49.4,99.0,190,95,1547.0,534,539,5,99.6,96.5,290,10.035,193.5
2014-06-18 17:02:00,349.75,3.0,17.9,99.0,194,99,1754.5,543,544,1,99.6,95.5,294,14.049,198.5
2014-06-18 17:03:00,335.65,2.5,50.5,99.5,184,95,1475.0,535,539,4,99.6,97.0,284,10.035,187.0
2014-06-19 13:00:00,335.4,2.5,24.6,100.5,184,97,1469.0,516,520,4,99.2,97.5,284,12.042,186.5
2014-06-19 13:01:00,331.75,2.5,17.6,100.5,180,99,1386.5,519,523,4,98.4,98.0,280,10.035,182.0
2014-06-19 13:01:00,334.5,2.5,35.2,100.5,186,100,1418.0,529,533,4,99.6,97.5,286,12.042,188.5
2014-06-19 13:01:00,334.7,2.5,15.2,100.5,188,100,1423.5,530,537,7,99.6,97.5,288,12.042,190.5
